#Note:G; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
320 9.58451780e-2 -1.16732688e+0
322 9.54484986e-2 -1.14511446e+0
324 9.50723560e-2 -1.12295613e+0
326 9.47167909e-2 -1.10084675e+0
328 9.43818618e-2 -1.07878119e+0
330 9.40676457e-2 -1.05675431e+0
332 9.37742378e-2 -1.03476095e+0
334 9.35017522e-2 -1.01279597e+0
336 9.32503227e-2 -9.90854166e-1
338 9.30201024e-2 -9.68930354e-1
340 9.28112651e-2 -9.47019299e-1
342 9.26240050e-2 -9.25115738e-1
344 9.24585380e-2 -9.03214371e-1
346 9.23151021e-2 -8.81309855e-1
348 9.21939578e-2 -8.59396798e-1
350 9.20953895e-2 -8.37469755e-1
352 9.20197055e-2 -8.15523221e-1
354 9.19672396e-2 -7.93551625e-1
356 9.19383517e-2 -7.71549327e-1
358 9.19334288e-2 -7.49510608e-1
360 9.19528860e-2 -7.27429665e-1
362 9.19971682e-2 -7.05300605e-1
364 9.20667505e-2 -6.83117439e-1
366 9.21621404e-2 -6.60874072e-1
368 9.22838785e-2 -6.38564299e-1
370 9.24325404e-2 -6.16181794e-1
372 9.26087386e-2 -5.93720105e-1
374 9.28131236e-2 -5.71172644e-1
376 9.30463864e-2 -5.48532678e-1
378 9.33092600e-2 -5.25793322e-1
380 9.36025221e-2 -5.02947527e-1
382 9.39269970e-2 -4.79988071e-1
384 9.42835583e-2 -4.56907550e-1
386 9.46731313e-2 -4.33698362e-1
388 9.50966962e-2 -4.10352703e-1
390 9.55552910e-2 -3.86862548e-1
392 9.60500147e-2 -3.63219644e-1
394 9.65820309e-2 -3.39415489e-1
396 9.71525716e-2 -3.15441326e-1
398 9.77629412e-2 -2.91288123e-1
400 9.84145210e-2 -2.66946558e-1
402 9.91087737e-2 -2.42407003e-1
404 9.98472485e-2 -2.17659503e-1
406 1.00631587e-1 -1.92693764e-1
408 1.01463528e-1 -1.67499125e-1
410 1.02344915e-1 -1.42064542e-1
412 1.03277702e-1 -1.16378564e-1
414 1.04263962e-1 -9.04293074e-2
416 1.05305894e-1 -6.42044329e-2
418 1.06405832e-1 -3.76911166e-2
420 1.07566255e-1 -1.08760217e-2
422 1.08789794e-1 1.62547328e-2
424 1.10079249e-1 4.37156049e-2
426 1.11437593e-1 7.15216654e-2
428 1.12867991e-1 9.96886351e-2
430 1.14373814e-1 1.28232926e-1
432 1.15958648e-1 1.57171684e-1
434 1.17626319e-1 1.86522835e-1
436 1.19380903e-1 2.16305136e-1
438 1.21226752e-1 2.46538230e-1
440 1.23168513e-1 2.77242698e-1
442 1.25211151e-1 3.08440128e-1
444 1.27359975e-1 3.40153179e-1
446 1.29620667e-1 3.72405650e-1
448 1.31999313e-1 4.05222563e-1
450 1.34502435e-1 4.38630245e-1
452 1.37137033e-1 4.72656417e-1
454 1.39910618e-1 5.07330297e-1
456 1.42831268e-1 5.42682702e-1
458 1.45907668e-1 5.78746167e-1
460 1.49149173e-1 6.15555069e-1
462 1.52565863e-1 6.53145765e-1
464 1.56168617e-1 6.91556742e-1
466 1.59969183e-1 7.30828777e-1
468 1.63980265e-1 7.71005116e-1
470 1.68215616e-1 8.12131667e-1
472 1.72690142e-1 8.54257212e-1
474 1.77420014e-1 8.97433642e-1
476 1.82422808e-1 9.41716206e-1
478 1.87717641e-1 9.87163798e-1
480 1.93325339e-1 1.03383926e+0
482 1.99268624e-1 1.08180972e+0
484 2.05572315e-1 1.13114697e+0
486 2.12263571e-1 1.18192788e+0
488 2.19372151e-1 1.23423487e+0
490 2.26930719e-1 1.28815637e+0
492 2.34975187e-1 1.34378743e+0
494 2.43545103e-1 1.40123035e+0
496 2.52684102e-1 1.46059534e+0
498 2.62440416e-1 1.52200133e+0
500 2.72867460e-1 1.58557682e+0
502 2.84024513e-1 1.65146087e+0
504 2.95977495e-1 1.71980420e+0
