#Note:E; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
320 1.20465468e-1 -3.36725729e-1
322 1.21885440e-1 -2.99528600e-1
324 1.23422366e-1 -2.61791281e-1
326 1.25083112e-1 -2.23479291e-1
328 1.26875134e-1 -1.84556198e-1
330 1.28806540e-1 -1.44983462e-1
332 1.30886153e-1 -1.04720251e-1
334 1.33123582e-1 -6.37232512e-2
336 1.35529309e-1 -2.19464499e-2
338 1.38114777e-1 2.06591025e-2
340 1.40892495e-1 6.41455519e-2
342 1.43876156e-1 1.08568529e-1
344 1.47080768e-1 1.53987466e-1
346 1.50522804e-1 2.00465955e-1
348 1.54220374e-1 2.48072134e-1
350 1.58193417e-1 2.96879126e-1
352 1.62463921e-1 3.46965526e-1
354 1.67056178e-1 3.98415943e-1
356 1.71997075e-1 4.51321605e-1
358 1.77316422e-1 5.05781044e-1
360 1.83047339e-1 5.61900857e-1
362 1.89226699e-1 6.19796572e-1
364 1.95895639e-1 6.79593615e-1
366 2.03100164e-1 7.41428414e-1
368 2.10891833e-1 8.05449645e-1
370 2.19328585e-1 8.71819650e-1
372 2.28475689e-1 9.40716050e-1
374 2.38406871e-1 1.01233360e+0
376 2.49205654e-1 1.08688629e+0
378 2.60966936e-1 1.16460979e+0
380 2.73798881e-1 1.24576426e+0
382 2.87825182e-1 1.33063757e+0
384 3.03187781e-1 1.41954904e+0
386 3.20050162e-1 1.51285389e+0
388 3.38601344e-1 1.61094823e+0
390 3.59060768e-1 1.71427511e+0
392 3.81684291e-1 1.82333152e+0
394 4.06771596e-1 1.93867662e+0
396 4.34675403e-1 2.06094160e+0
398 4.65812988e-1 2.19084121e+0
400 5.00680708e-1 2.32918763e+0
402 5.39872426e-1 2.47690698e+0
404 5.84103085e-1 2.63505912e+0
406 6.34239104e-1 2.80486136e+0
408 6.91337923e-1 2.98771703e+0
410 7.56699930e-1 3.18524985e+0
412 8.31937311e-1 3.39934516e+0
414 9.19066294e-1 3.63219924e+0
416 1.02063211e+0 3.88637783e+0
418 1.13988022e+0 4.16488436e+0
420 1.28099389e+0 4.47123716e+0
422 1.44942789e+0 4.80955191e+0
424 1.65238338e+0 5.18461915e+0
426 1.89949261e+0 5.60195306e+0
428 2.20381814e+0 6.06776012e+0
430 2.58332673e+0 6.58871873e+0
432 3.06307821e+0 7.17134240e+0
434 3.67847312e+0 7.82045172e+0
436 4.47998860e+0 8.53576567e+0
438 5.53971823e+0 9.30456248e+0
440 6.95907229e+0 1.00862804e+1
442 8.87317546e+0 1.07814035e+1
444 1.14354545e+1 1.11737404e+1
446 1.47361873e+1 1.08456408e+1
448 1.85706353e+1 9.13872386e+0
450 2.20673033e+1 5.42615946e+0
452 2.37192462e+1 -5.33561896e-2
454 2.25876926e+1 -5.69031071e+0
456 1.94029357e+1 -9.75463049e+0
458 1.56636554e+1 -1.18156759e+1
460 1.23364552e+1 -1.24148656e+1
462 9.70222984e+0 -1.22098095e+1
464 7.70773046e+0 -1.16409997e+1
466 6.21338322e+0 -1.09453981e+1
468 5.08785661e+0 -1.02367642e+1
470 4.22980919e+0 -9.56469330e+0
472 3.56606066e+0 -8.94755917e+0
474 3.04484044e+0 -8.38921898e+0
476 2.62956247e+0 -7.88716302e+0
478 2.29416854e+0 -7.43640763e+0
480 2.01987826e+0 -7.03131213e+0
482 1.79297378e+0 -6.66639055e+0
484 1.60329610e+0 -6.33663987e+0
486 1.44321938e+0 -6.03763950e+0
488 1.30694470e+0 -5.76554638e+0
490 1.19000805e+0 -5.51704646e+0
492 1.08893330e+0 -5.28929168e+0
494 1.00098443e+0 -5.07983613e+0
496 9.23986247e-1 -4.88657710e+0
498 8.56193232e-1 -4.70770320e+0
500 7.96192445e-1 -4.54164975e+0
502 7.42830849e-1 -4.38706106e+0
504 6.95160361e-1 -4.24275857e+0
506 6.52395889e-1 -4.10771428e+0
508 6.13882998e-1 -3.98102843e+0
510 5.79072780e-1 -3.86191083e+0
512 5.47502146e-1 -3.74966518e+0
514 5.18778276e-1 -3.64367598e+0
516 4.92566232e-1 -3.54339736e+0
518 4.68579048e-1 -3.44834377e+0
520 4.46569726e-1 -3.35808202e+0
522 4.26324756e-1 -3.27222455e+0
524 4.07658815e-1 -3.19042366e+0
526 3.90410423e-1 -3.11236656e+0
528 3.74438358e-1 -3.03777122e+0
530 3.59618685e-1 -2.96638265e+0
532 3.45842276e-1 -2.89796981e+0
534 3.33012737e-1 -2.83232286e+0
536 3.21044670e-1 -2.76925083e+0
538 3.09862200e-1 -2.70857953e+0
540 2.99397725e-1 -2.65014977e+0
542 2.89590863e-1 -2.59381576e+0
544 2.80387541e-1 -2.53944376e+0
546 2.71739225e-1 -2.48691087e+0
548 2.63602247e-1 -2.43610389e+0
550 2.55937239e-1 -2.38691845e+0
552 2.48708628e-1 -2.33925813e+0
554 2.41884210e-1 -2.29303368e+0
556 2.35434776e-1 -2.24816244e+0
558 2.29333778e-1 -2.20456765e+0
560 2.23557053e-1 -2.16217798e+0
562 2.18082565e-1 -2.12092703e+0
564 2.12890186e-1 -2.08075292e+0
566 2.07961506e-1 -2.04159787e+0
568 2.03279656e-1 -2.00340791e+0
570 1.98829161e-1 -1.96613250e+0
572 1.94595802e-1 -1.92972430e+0
574 1.90566501e-1 -1.89413889e+0
576 1.86729211e-1 -1.85933457e+0
578 1.83072821e-1 -1.82527208e+0
580 1.79587076e-1 -1.79191448e+0
582 1.76262497e-1 -1.75922695e+0
584 1.73090313e-1 -1.72717662e+0
586 1.70062402e-1 -1.69573243e+0
588 1.67171238e-1 -1.66486499e+0
590 1.64409836e-1 -1.63454650e+0
592 1.61771712e-1 -1.60475058e+0
594 1.59250843e-1 -1.57545219e+0
596 1.56841625e-1 -1.54662755e+0
598 1.54538850e-1 -1.51825402e+0
600 1.52337665e-1 -1.49031007e+0
602 1.50233554e-1 -1.46277515e+0
604 1.48222309e-1 -1.43562966e+0
606 1.46300008e-1 -1.40885486e+0
608 1.44462994e-1 -1.38243282e+0
