#Note:B; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
320 1.09700528e-1 -1.84018348e+0
322 1.08874038e-1 -1.82092326e+0
324 1.08063319e-1 -1.80182094e+0
326 1.07268088e-1 -1.78287300e+0
328 1.06488075e-1 -1.76407599e+0
330 1.05723016e-1 -1.74542654e+0
332 1.04972656e-1 -1.72692134e+0
334 1.04236748e-1 -1.70855714e+0
336 1.03515055e-1 -1.69033077e+0
338 1.02807344e-1 -1.67223913e+0
340 1.02113391e-1 -1.65427915e+0
342 1.01432981e-1 -1.63644785e+0
344 1.00765903e-1 -1.61874228e+0
346 1.00111955e-1 -1.60115958e+0
348 9.94709400e-2 -1.58369691e+0
350 9.88426695e-2 -1.56635149e+0
352 9.82269598e-2 -1.54912060e+0
354 9.76236338e-2 -1.53200156e+0
356 9.70325205e-2 -1.51499174e+0
358 9.64534548e-2 -1.49808856e+0
360 9.58862771e-2 -1.48128946e+0
362 9.53308336e-2 -1.46459194e+0
364 9.47869761e-2 -1.44799356e+0
366 9.42545614e-2 -1.43149187e+0
368 9.37334520e-2 -1.41508451e+0
370 9.32235151e-2 -1.39876912e+0
372 9.27246234e-2 -1.38254340e+0
374 9.22366542e-2 -1.36640505e+0
376 9.17594897e-2 -1.35035185e+0
378 9.12930171e-2 -1.33438157e+0
380 9.08371281e-2 -1.31849203e+0
382 9.03917189e-2 -1.30268107e+0
384 8.99566904e-2 -1.28694658e+0
386 8.95319481e-2 -1.27128645e+0
388 8.91174015e-2 -1.25569861e+0
390 8.87129647e-2 -1.24018102e+0
392 8.83185562e-2 -1.22473165e+0
394 8.79340984e-2 -1.20934849e+0
396 8.75595182e-2 -1.19402958e+0
398 8.71947463e-2 -1.17877295e+0
400 8.68397178e-2 -1.16357666e+0
402 8.64943716e-2 -1.14843881e+0
404 8.61586509e-2 -1.13335749e+0
406 8.58325026e-2 -1.11833081e+0
408 8.55158777e-2 -1.10335692e+0
410 8.52087312e-2 -1.08843396e+0
412 8.49110219e-2 -1.07356011e+0
414 8.46227125e-2 -1.05873353e+0
416 8.43437697e-2 -1.04395242e+0
418 8.40741641e-2 -1.02921499e+0
420 8.38138700e-2 -1.01451945e+0
422 8.35628657e-2 -9.99864026e-1
424 8.33211333e-2 -9.85246964e-1
426 8.30886589e-2 -9.70666505e-1
428 8.28654323e-2 -9.56120905e-1
430 8.26514475e-2 -9.41608426e-1
432 8.24467022e-2 -9.27127337e-1
434 8.22511980e-2 -9.12675914e-1
436 8.20649405e-2 -8.98252436e-1
438 8.18879395e-2 -8.83855190e-1
440 8.17202085e-2 -8.69482464e-1
442 8.15617653e-2 -8.55132550e-1
444 8.14126316e-2 -8.40803741e-1
446 8.12728334e-2 -8.26494332e-1
448 8.11424009e-2 -8.12202621e-1
450 8.10213683e-2 -7.97926902e-1
452 8.09097743e-2 -7.83665471e-1
454 8.08076619e-2 -7.69416621e-1
456 8.07150786e-2 -7.55178642e-1
458 8.06320762e-2 -7.40949821e-1
460 8.05587111e-2 -7.26728443e-1
462 8.04950446e-2 -7.12512785e-1
464 8.04411424e-2 -6.98301120e-1
466 8.03970751e-2 -6.84091714e-1
468 8.03629183e-2 -6.69882826e-1
470 8.03387526e-2 -6.55672706e-1
472 8.03246636e-2 -6.41459596e-1
474 8.03207422e-2 -6.27241727e-1
476 8.03270846e-2 -6.13017319e-1
478 8.03437927e-2 -5.98784581e-1
480 8.03709736e-2 -5.84541710e-1
482 8.04087406e-2 -5.70286887e-1
484 8.04572125e-2 -5.56018280e-1
486 8.05165143e-2 -5.41734042e-1
488 8.05867773e-2 -5.27432308e-1
490 8.06681390e-2 -5.13111196e-1
492 8.07607436e-2 -4.98768807e-1
494 8.08647419e-2 -4.84403219e-1
496 8.09802919e-2 -4.70012492e-1
498 8.11075584e-2 -4.55594663e-1
500 8.12467138e-2 -4.41147746e-1
502 8.13979381e-2 -4.26669732e-1
504 8.15614190e-2 -4.12158584e-1
506 8.17373523e-2 -3.97612241e-1
508 8.19259422e-2 -3.83028614e-1
