#Note:A; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
320 9.99959747e-2 -1.55143456e+0
322 9.93255729e-2 -1.53159179e+0
324 9.86709174e-2 -1.51187627e+0
326 9.80317996e-2 -1.49228430e+0
328 9.74080202e-2 -1.47281225e+0
330 9.67993888e-2 -1.45345653e+0
332 9.62057238e-2 -1.43421364e+0
334 9.56268525e-2 -1.41508009e+0
336 9.50626105e-2 -1.39605247e+0
338 9.45128417e-2 -1.37712742e+0
340 9.39773983e-2 -1.35830161e+0
342 9.34561407e-2 -1.33957176e+0
344 9.29489371e-2 -1.32093464e+0
346 9.24556637e-2 -1.30238705e+0
348 9.19762043e-2 -1.28392583e+0
350 9.15104506e-2 -1.26554786e+0
352 9.10583018e-2 -1.24725004e+0
354 9.06196645e-2 -1.22902933e+0
356 9.01944530e-2 -1.21088269e+0
358 8.97825890e-2 -1.19280713e+0
360 8.93840016e-2 -1.17479966e+0
362 8.89986270e-2 -1.15685735e+0
364 8.86264090e-2 -1.13897726e+0
366 8.82672987e-2 -1.12115650e+0
368 8.79212545e-2 -1.10339217e+0
370 8.75882420e-2 -1.08568140e+0
372 8.72682342e-2 -1.06802135e+0
374 8.69612116e-2 -1.05040918e+0
376 8.66671618e-2 -1.03284205e+0
378 8.63860802e-2 -1.01531716e+0
380 8.61179692e-2 -9.97831685e-1
382 8.58628392e-2 -9.80382837e-1
384 8.56207079e-2 -9.62967817e-1
386 8.53916009e-2 -9.45583834e-1
388 8.51755515e-2 -9.28228099e-1
390 8.49726007e-2 -9.10897823e-1
392 8.47827977e-2 -8.93590215e-1
394 8.46061999e-2 -8.76302482e-1
396 8.44428727e-2 -8.59031826e-1
398 8.42928900e-2 -8.41775440e-1
400 8.41563343e-2 -8.24530511e-1
402 8.40332968e-2 -8.07294216e-1
404 8.39238775e-2 -7.90063718e-1
406 8.38281858e-2 -7.72836167e-1
408 8.37463401e-2 -7.55608697e-1
410 8.36784685e-2 -7.38378426e-1
412 8.36247089e-2 -7.21142448e-1
414 8.35852092e-2 -7.03897840e-1
416 8.35601275e-2 -6.86641653e-1
418 8.35496329e-2 -6.69370912e-1
420 8.35539049e-2 -6.52082615e-1
422 8.35731348e-2 -6.34773729e-1
424 8.36075251e-2 -6.17441190e-1
426 8.36572904e-2 -6.00081898e-1
428 8.37226577e-2 -5.82692717e-1
430 8.38038668e-2 -5.65270471e-1
432 8.39011708e-2 -5.47811943e-1
434 8.40148362e-2 -5.30313871e-1
436 8.41451440e-2 -5.12772946e-1
438 8.42923898e-2 -4.95185809e-1
440 8.44568844e-2 -4.77549049e-1
442 8.46389545e-2 -4.59859200e-1
444 8.48389434e-2 -4.42112737e-1
446 8.50572113e-2 -4.24306072e-1
448 8.52941364e-2 -4.06435555e-1
450 8.55501152e-2 -3.88497466e-1
452 8.58255637e-2 -3.70488013e-1
454 8.61209182e-2 -3.52403330e-1
456 8.64366356e-2 -3.34239473e-1
458 8.67731950e-2 -3.15992411e-1
460 8.71310983e-2 -2.97658031e-1
462 8.75108713e-2 -2.79232125e-1
464 8.79130650e-2 -2.60710392e-1
466 8.83382562e-2 -2.42088430e-1
468 8.87870494e-2 -2.23361731e-1
470 8.92600777e-2 -2.04525679e-1
472 8.97580040e-2 -1.85575540e-1
474 9.02815230e-2 -1.66506462e-1
476 9.08313623e-2 -1.47313466e-1
478 9.14082842e-2 -1.27991439e-1
480 9.20130875e-2 -1.08535131e-1
482 9.26466091e-2 -8.89391464e-2
484 9.33097261e-2 -6.91979362e-2
486 9.40033582e-2 -4.93057932e-2
488 9.47284694e-2 -2.92568427e-2
490 9.54860706e-2 -9.04503499e-3
492 9.62772222e-2 1.13358631e-2
494 9.71030364e-2 3.18922769e-2
496 9.79646808e-2 5.26308337e-2
498 9.88633804e-2 7.35583719e-2
500 9.98004220e-2 9.46819515e-2
502 1.00777156e-1 1.16008865e-1
504 1.01795003e-1 1.37546650e-1
506 1.02855455e-1 1.59303099e-1
508 1.03960078e-1 1.81286274e-1
510 1.05110524e-1 2.03504519e-1
512 1.06308526e-1 2.25966475e-1
514 1.07555912e-1 2.48681096e-1
516 1.08854603e-1 2.71657660e-1
518 1.10206626e-1 2.94905795e-1
520 1.11614113e-1 3.18435488e-1
522 1.13079315e-1 3.42257108e-1
524 1.14604605e-1 3.66381427e-1
526 1.16192485e-1 3.90819639e-1
528 1.17845600e-1 4.15583386e-1
530 1.19566740e-1 4.40684779e-1
532 1.21358856e-1 4.66136423e-1
534 1.23225068e-1 4.91951450e-1
536 1.25168673e-1 5.18143542e-1
538 1.27193166e-1 5.44726965e-1
540 1.29302245e-1 5.71716602e-1
542 1.31499830e-1 5.99127988e-1
544 1.33790077e-1 6.26977348e-1
546 1.36177396e-1 6.55281638e-1
548 1.38666468e-1 6.84058585e-1
550 1.41262268e-1 7.13326739e-1
552 1.43970081e-1 7.43105518e-1
554 1.46795534e-1 7.73415261e-1
556 1.49744614e-1 8.04277289e-1
558 1.52823700e-1 8.35713961e-1
560 1.56039594e-1 8.67748745e-1
562 1.59399551e-1 9.00406285e-1
564 1.62911321e-1 9.33712478e-1
566 1.66583184e-1 9.67694557e-1
568 1.70423996e-1 1.00238118e+0
570 1.74443239e-1 1.03780252e+0
572 1.78651070e-1 1.07399038e+0
574 1.83058383e-1 1.11097829e+0
576 1.87676870e-1 1.14880165e+0
578 1.92519094e-1 1.18749782e+0
580 1.97598567e-1 1.22710631e+0
582 2.02929833e-1 1.26766890e+0
584 2.08528569e-1 1.30922984e+0
586 2.14411686e-1 1.35183599e+0
588 2.20597451e-1 1.39553706e+0
590 2.27105613e-1 1.44038578e+0
592 2.33957553e-1 1.48643820e+0
594 2.41176445e-1 1.53375389e+0
596 2.48787440e-1 1.58239626e+0
598 2.56817863e-1 1.63243284e+0
600 2.65297451e-1 1.68393567e+0
602 2.74258602e-1 1.73698161e+0
604 2.83736666e-1 1.79165278e+0
606 2.93770273e-1 1.84803706e+0
608 3.04401699e-1 1.90622849e+0
610 3.15677283e-1 1.96632792e+0
612 3.27647902e-1 2.02844355e+0
614 3.40369508e-1 2.09269167e+0
616 3.53903742e-1 2.15919733e+0
618 3.68318638e-1 2.22809526e+0
620 3.83689424e-1 2.29953072e+0
622 4.00099446e-1 2.37366061e+0
