#Note:F; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
320 1.04428062e-1 -6.94210427e-1
322 1.04756530e-1 -6.65291223e-1
324 1.05135532e-1 -6.36196999e-1
326 1.05566842e-1 -6.06913734e-1
328 1.06052363e-1 -5.77426936e-1
330 1.06594136e-1 -5.47721606e-1
332 1.07194355e-1 -5.17782203e-1
334 1.07855369e-1 -4.87592605e-1
336 1.08579704e-1 -4.57136066e-1
338 1.09370066e-1 -4.26395175e-1
340 1.10229363e-1 -3.95351802e-1
342 1.11160715e-1 -3.63987053e-1
344 1.12167476e-1 -3.32281211e-1
346 1.13253246e-1 -3.00213680e-1
348 1.14421898e-1 -2.67762915e-1
350 1.15677596e-1 -2.34906362e-1
352 1.17024819e-1 -2.01620375e-1
354 1.18468394e-1 -1.67880141e-1
356 1.20013520e-1 -1.33659589e-1
358 1.21665801e-1 -9.89312993e-2
360 1.23431289e-1 -6.36663972e-2
362 1.25316516e-1 -2.78344433e-2
364 1.27328544e-1 8.59668866e-3
366 1.29475016e-1 4.56609440e-2
368 1.31764206e-1 8.33942320e-2
370 1.34205087e-1 1.21834584e-1
372 1.36807393e-1 1.61022324e-1
374 1.39581705e-1 2.01000264e-1
376 1.42539528e-1 2.41813905e-1
378 1.45693393e-1 2.83511670e-1
380 1.49056967e-1 3.26145155e-1
382 1.52645171e-1 3.69769405e-1
384 1.56474319e-1 4.14443223e-1
386 1.60562276e-1 4.60229506e-1
388 1.64928635e-1 5.07195624e-1
390 1.69594914e-1 5.55413834e-1
392 1.74584788e-1 6.04961744e-1
394 1.79924344e-1 6.55922832e-1
396 1.85642385e-1 7.08387020e-1
398 1.91770766e-1 7.62451317e-1
400 1.98344785e-1 8.18220545e-1
402 2.05403635e-1 8.75808145e-1
404 2.12990925e-1 9.35337095e-1
406 2.21155284e-1 9.96940930e-1
408 2.29951057e-1 1.06076491e+0
410 2.39439127e-1 1.12696734e+0
412 2.49687869e-1 1.19572105e+0
414 2.60774270e-1 1.26721510e+0
416 2.72785250e-1 1.34165674e+0
418 2.85819225e-1 1.41927361e+0
420 2.99987957e-1 1.50031628e+0
422 3.15418762e-1 1.58506118e+0
424 3.32257158e-1 1.67381401e+0
426 3.50670032e-1 1.76691361e+0
428 3.70849487e-1 1.86473647e+0
430 3.93017493e-1 1.96770207e+0
432 4.17431574e-1 2.07627896e+0
434 4.44391779e-1 2.19099198e+0
436 4.74249286e-1 2.31243069e+0
438 5.07417085e-1 2.44125932e+0
440 5.44383322e-1 2.57822846e+0
442 5.85728084e-1 2.72418893e+0
444 6.32144669e-1 2.88010813e+0
446 6.84466722e-1 3.04708958e+0
448 7.43703163e-1 3.22639590e+0
450 8.11083487e-1 3.41947620e+0
452 8.88117064e-1 3.62799832e+0
454 9.76671479e-1 3.85388671e+0
456 1.07907705e+0 4.09936626e+0
458 1.19826769e+0 4.36701212e+0
460 1.33797284e+0 4.65980402e+0
462 1.50298176e+0 4.98118156e+0
464 1.69951170e+0 5.33509151e+0
466 1.93572623e+0 5.72600903e+0
468 2.22247260e+0 6.15889559e+0
