#Note:C; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
322 8.14004528e-1 3.25707222e+0
324 9.28936709e-1 3.57915418e+0
326 1.07017923e+0 3.94139898e+0
328 1.24603410e+0 4.35165645e+0
330 1.46823799e+0 4.81966249e+0
332 1.75374835e+0 5.35744534e+0
334 2.12765399e+0 5.97963773e+0
336 2.62802905e+0 6.70332533e+0
338 3.31418109e+0 7.54639936e+0
340 4.28075497e+0 8.52159514e+0
342 5.68118524e+0 9.61855710e+0
344 7.76174818e+0 1.07535068e+1
346 1.08844301e+1 1.16369737e+1
348 1.54040814e+1 1.14817459e+1
350 2.09533799e+1 8.70287723e+0
352 2.49820387e+1 2.00404627e+0
354 2.40723596e+1 -6.23230361e+0
356 1.92462493e+1 -1.15661458e+1
358 1.40923372e+1 -1.33165894e+1
360 1.01812699e+1 -1.31332832e+1
362 7.49632458e+0 -1.22568512e+1
364 5.67677047e+0 -1.12367711e+1
366 4.42186352e+0 -1.02689725e+1
368 3.53317057e+0 -9.40880465e+0
370 2.88631546e+0 -8.66121851e+0
372 2.40326168e+0 -8.01509521e+0
374 2.03411988e+0 -7.45573840e+0
376 1.74620855e+0 -6.96914787e+0
378 1.51757139e+0 -6.54324554e+0
380 1.33309579e+0 -6.16800728e+0
382 1.18214275e+0 -5.83523882e+0
384 1.05706655e+0 -5.53827071e+0
386 9.52268409e-1 -5.27166873e+0
388 8.63577947e-1 -5.03098800e+0
390 7.87840258e-1 -4.81257359e+0
392 7.22634741e-1 -4.61340211e+0
394 6.66080159e-1 -4.43095700e+0
396 6.16697164e-1 -4.26313041e+0
398 5.73309844e-1 -4.10814604e+0
400 5.34974176e-1 -3.96449809e+0
402 5.00925354e-1 -3.83090278e+0
404 4.70538515e-1 -3.70625973e+0
406 4.43299134e-1 -3.58962084e+0
408 4.18780452e-1 -3.48016525e+0
410 3.96626115e-1 -3.37717895e+0
412 3.76536672e-1 -3.28003810e+0
414 3.58259011e-1 -3.18819544e+0
416 3.41578005e-1 -3.10116891e+0
418 3.26309864e-1 -3.01853233e+0
420 3.12296806e-1 -2.93990754e+0
422 2.99402759e-1 -2.86495789e+0
424 2.87509864e-1 -2.79338265e+0
426 2.76515626e-1 -2.72491241e+0
428 2.66330565e-1 -2.65930507e+0
430 2.56876281e-1 -2.59634245e+0
432 2.48083844e-1 -2.53582742e+0
434 2.39892456e-1 -2.47758138e+0
436 2.32248320e-1 -2.42144213e+0
438 2.25103700e-1 -2.36726202e+0
440 2.18416116e-1 -2.31490631e+0
442 2.12147665e-1 -2.26425179e+0
444 2.06264447e-1 -2.21518551e+0
446 2.00736066e-1 -2.16760378e+0
448 1.95535207e-1 -2.12141114e+0
450 1.90637271e-1 -2.07651958e+0
452 1.86020059e-1 -2.03284779e+0
454 1.81663503e-1 -1.99032052e+0
456 1.77549421e-1 -1.94886798e+0
458 1.73661320e-1 -1.90842533e+0
460 1.69984206e-1 -1.86893223e+0
462 1.66504436e-1 -1.83033245e+0
464 1.63209571e-1 -1.79257345e+0
466 1.60088261e-1 -1.75560610e+0
468 1.57130131e-1 -1.71938435e+0
470 1.54325693e-1 -1.68386499e+0
472 1.51666259e-1 -1.64900738e+0
474 1.49143863e-1 -1.61477326e+0
476 1.46751204e-1 -1.58112652e+0
478 1.44481578e-1 -1.54803306e+0
480 1.42328830e-1 -1.51546057e+0
482 1.40287309e-1 -1.48337844e+0
484 1.38351822e-1 -1.45175759e+0
486 1.36517602e-1 -1.42057034e+0
488 1.34780269e-1 -1.38979030e+0
490 1.33135803e-1 -1.35939230e+0
492 1.31580520e-1 -1.32935223e+0
494 1.30111044e-1 -1.29964697e+0
496 1.28724285e-1 -1.27025436e+0
498 1.27417424e-1 -1.24115304e+0
500 1.26187895e-1 -1.21232242e+0
502 1.25033364e-1 -1.18374262e+0
504 1.23951726e-1 -1.15539438e+0
506 1.22941080e-1 -1.12725903e+0
508 1.21999731e-1 -1.09931841e+0
510 1.21126171e-1 -1.07155481e+0
512 1.20319077e-1 -1.04395095e+0
514 1.19577300e-1 -1.01648991e+0
516 1.18899860e-1 -9.89155085e-1
518 1.18285944e-1 -9.61930150e-1
520 1.17734896e-1 -9.34799005e-1
522 1.17246221e-1 -9.07745743e-1
524 1.16819576e-1 -8.80754601e-1
526 1.16454772e-1 -8.53809927e-1
528 1.16151774e-1 -8.26896138e-1
530 1.15910697e-1 -7.99997677e-1
532 1.15731814e-1 -7.73098981e-1
534 1.15615551e-1 -7.46184438e-1
536 1.15562492e-1 -7.19238348e-1
538 1.15573386e-1 -6.92244883e-1
540 1.15649146e-1 -6.65188048e-1
542 1.15790856e-1 -6.38051641e-1
544 1.15999783e-1 -6.10819204e-1
546 1.16277374e-1 -5.83473987e-1
548 1.16625274e-1 -5.55998899e-1
550 1.17045333e-1 -5.28376460e-1
552 1.17539615e-1 -5.00588753e-1
554 1.18110411e-1 -4.72617371e-1
556 1.18760257e-1 -4.44443361e-1
558 1.19491945e-1 -4.16047170e-1
560 1.20308546e-1 -3.87408577e-1
562 1.21213423e-1 -3.58506635e-1
564 1.22210261e-1 -3.29319594e-1
566 1.23303084e-1 -2.99824828e-1
568 1.24496289e-1 -2.69998758e-1
570 1.25794672e-1 -2.39816760e-1
