#Note:C2; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
320 1.20437537e-1 -2.09144682e+0
322 1.19480844e-1 -2.07206309e+0
324 1.18540947e-1 -2.05285700e+0
326 1.17617522e-1 -2.03382495e+0
328 1.16710251e-1 -2.01496339e+0
330 1.15818826e-1 -1.99626888e+0
332 1.14942949e-1 -1.97773805e+0
334 1.14082329e-1 -1.95936759e+0
336 1.13236685e-1 -1.94115427e+0
338 1.12405744e-1 -1.92309493e+0
340 1.11589238e-1 -1.90518648e+0
342 1.10786911e-1 -1.88742590e+0
344 1.09998512e-1 -1.86981021e+0
346 1.09223796e-1 -1.85233653e+0
348 1.08462527e-1 -1.83500200e+0
350 1.07714475e-1 -1.81780385e+0
352 1.06979417e-1 -1.80073935e+0
354 1.06257136e-1 -1.78380582e+0
356 1.05547421e-1 -1.76700064e+0
358 1.04850067e-1 -1.75032125e+0
360 1.04164875e-1 -1.73376513e+0
362 1.03491652e-1 -1.71732980e+0
364 1.02830210e-1 -1.70101285e+0
366 1.02180368e-1 -1.68481189e+0
368 1.01541947e-1 -1.66872460e+0
370 1.00914775e-1 -1.65274867e+0
372 1.00298687e-1 -1.63688188e+0
374 9.96935190e-2 -1.62112199e+0
376 9.90991144e-2 -1.60546686e+0
378 9.85153201e-2 -1.58991433e+0
380 9.79419878e-2 -1.57446233e+0
382 9.73789735e-2 -1.55910880e+0
384 9.68261377e-2 -1.54385170e+0
386 9.62833449e-2 -1.52868905e+0
388 9.57504636e-2 -1.51361889e+0
390 9.52273664e-2 -1.49863931e+0
392 9.47139300e-2 -1.48374840e+0
394 9.42100346e-2 -1.46894430e+0
396 9.37155643e-2 -1.45422517e+0
398 9.32304068e-2 -1.43958921e+0
400 9.27544536e-2 -1.42503464e+0
402 9.22875994e-2 -1.41055971e+0
404 9.18297425e-2 -1.39616269e+0
406 9.13807847e-2 -1.38184187e+0
408 9.09406309e-2 -1.36759559e+0
410 9.05091893e-2 -1.35342217e+0
412 9.00863715e-2 -1.33932000e+0
414 8.96720920e-2 -1.32528745e+0
416 8.92662685e-2 -1.31132295e+0
418 8.88688218e-2 -1.29742492e+0
420 8.84796755e-2 -1.28359182e+0
422 8.80987564e-2 -1.26982211e+0
424 8.77259940e-2 -1.25611428e+0
426 8.73613209e-2 -1.24246685e+0
428 8.70046722e-2 -1.22887833e+0
430 8.66559861e-2 -1.21534726e+0
432 8.63152033e-2 -1.20187221e+0
434 8.59822676e-2 -1.18845175e+0
436 8.56571250e-2 -1.17508446e+0
438 8.53397246e-2 -1.16176894e+0
440 8.50300180e-2 -1.14850382e+0
442 8.47279592e-2 -1.13528772e+0
444 8.44335052e-2 -1.12211928e+0
446 8.41466152e-2 -1.10899715e+0
448 8.38672513e-2 -1.09592001e+0
450 8.35953779e-2 -1.08288653e+0
452 8.33309620e-2 -1.06989540e+0
454 8.30739732e-2 -1.05694532e+0
456 8.28243834e-2 -1.04403499e+0
458 8.25821673e-2 -1.03116313e+0
460 8.23473020e-2 -1.01832847e+0
462 8.21197668e-2 -1.00552974e+0
464 8.18995439e-2 -9.92765683e-1
466 8.16866177e-2 -9.80035051e-1
468 8.14809752e-2 -9.67336597e-1
470 8.12826060e-2 -9.54669086e-1
472 8.10915020e-2 -9.42031285e-1
474 8.09076577e-2 -9.29421969e-1
476 8.07310701e-2 -9.16839918e-1
478 8.05617387e-2 -9.04283914e-1
480 8.03996655e-2 -8.91752747e-1
482 8.02448552e-2 -8.79245208e-1
484 8.00973148e-2 -8.66760092e-1
486 7.99570543e-2 -8.54296198e-1
488 7.98240859e-2 -8.41852324e-1
490 7.96984246e-2 -8.29427275e-1
492 7.95800880e-2 -8.17019853e-1
494 7.94690964e-2 -8.04628863e-1
496 7.93654729e-2 -7.92253112e-1
498 7.92692433e-2 -7.79891404e-1
